primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename,geo_data
greegr,[],['flight call'],52.2335,13.8373,Ardea alba,Great Egret,Sonnenburg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/338469,greegr/XC338469.ogg,52.2335 13.8373 Sonnenburg
bcnher,[],[''],43.1038,3.0347,Nycticorax nycticorax,Black-crowned Night-Heron,brickegickel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/725859,bcnher/XC725859.ogg,43.1038 3.0347 brickegickel
eurcoo,[],[''],46.6109,0.54,Fulica atra,Eurasian Coot,Raphaël Bussière,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/715190,eurcoo/XC715190.ogg,46.6109 0.54 Raphaël Bussière
bcnher,[],[''],47.4734,4.4451,Nycticorax nycticorax,Black-crowned Night-Heron,Dominique Guillerme,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/701523,bcnher/XC701523.ogg,47.4734 4.4451 Dominique Guillerme
blrwar1,[],['song'],60.2124,24.8374,Acrocephalus dumetorum,Blyth's Reed Warbler,Antero Lindholm,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/122439,blrwar1/XC122439.ogg,60.2124 24.8374 Antero Lindholm
gyhcaf1,[],['song'],9.1385,98.6199,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Greg Irving,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/345683,gyhcaf1/XC345683.ogg,9.1385 98.6199 Greg Irving
grewar3,[],['song'],52.2956,13.7908,Phylloscopus trochiloides,Greenish Warbler,Sonnenburg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/254828,grewar3/XC254828.ogg,52.2956 13.7908 Sonnenburg
gyhcaf1,[],[''],13.7295,100.5587,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Sam Hambly,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/841867,gyhcaf1/XC841867.ogg,13.7295 100.5587 Sam Hambly
graher1,[],[''],49.1144,-0.4023,Ardea cinerea,Gray Heron,Martin Billard,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/743546,graher1/XC743546.ogg,49.1144 -0.4023 Martin Billard
rorpar,[],[''],51.4279,5.4685,Psittacula krameri,Rose-ringed Parakeet,Jorge Leitão,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/780903,rorpar/XC780903.ogg,51.4279 5.4685 Jorge Leitão
bcnher,[],[''],37.3913,-6.2057,Nycticorax nycticorax,Black-crowned Night-Heron,José Manuel Reyes Páez,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/788132,bcnher/XC788132.ogg,37.3913 -6.2057 José Manuel Reyes Páez
greegr,[],"['flight call', 'sex uncertain']",40.6389,0.7406,Ardea alba,Great Egret,Jordi Calvet,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/645959,greegr/XC645959.ogg,40.6389 0.7406 Jordi Calvet
blrwar1,[],['song'],53.5642,23.3979,Acrocephalus dumetorum,Blyth's Reed Warbler,Tomek Tumiel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/319596,blrwar1/XC319596.ogg,53.5642 23.3979 Tomek Tumiel
grewar3,[],"['call', 'song']",63.5988,20.7618,Phylloscopus trochiloides,Greenish Warbler,Lars Edenius,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/415954,grewar3/XC415954.ogg,63.5988 20.7618 Lars Edenius
bcnher,[],[''],40.8846,0.8014,Nycticorax nycticorax,Black-crowned Night-Heron,Xavier Riera,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/836515,bcnher/XC836515.ogg,40.8846 0.8014 Xavier Riera
bcnher,[],"['begging call', 'call', 'juvenile']",32.5752,-117.1237,Nycticorax nycticorax,Black-crowned Night-Heron,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/481923,bcnher/XC481923.ogg,32.5752 -117.1237 Paul Marvin
greegr,[],"['alarm call', 'female', 'flight call']",19.295,-99.095,Ardea alba,Great Egret,Manuel Grosselet,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/290050,greegr/XC290050.ogg,19.295 -99.095 Manuel Grosselet
greegr,[],['alarm call'],44.9026,11.1777,Ardea alba,Great Egret,Francesco Sottile,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/345145,greegr/XC345145.ogg,44.9026 11.1777 Francesco Sottile
blrwar1,[],['song'],59.342,17.1931,Acrocephalus dumetorum,Blyth's Reed Warbler,Petter Kappel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/423670,blrwar1/XC423670.ogg,59.342 17.1931 Petter Kappel
blrwar1,[],['call'],53.0543,4.8065,Acrocephalus dumetorum,Blyth's Reed Warbler,Arend Wassink,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/506312,blrwar1/XC506312.ogg,53.0543 4.8065 Arend Wassink
eurcoo,[],['nocturnal flight call'],51.0246,3.7531,Fulica atra,Eurasian Coot,Elie Desmet,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/539310,eurcoo/XC539310.ogg,51.0246 3.7531 Elie Desmet
gyhcaf1,['gyhcaf1'],"['aberrant', 'adult', 'call', 'sex uncertain', 'song']",,,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Michael Frankenstein,Creative Commons Attribution-ShareAlike 4.0,4.5,https://www.xeno-canto.org/665640,gyhcaf1/XC665640.ogg,nan nan Michael Frankenstein
grewar3,[],['song'],46.556,7.0031,Phylloscopus trochiloides,Greenish Warbler,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/194549,grewar3/XC194549.ogg,46.556 7.0031 Bram Piot
whbwat1,[],['call'],16.3981,73.7822,Amaurornis phoenicurus,White-breasted Waterhen,Ganesh R mandavkar,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/303532,whbwat1/XC303532.ogg,16.3981 73.7822 Ganesh R mandavkar
grewar3,[],"['adult', 'call', 'sex uncertain']",23.6514,87.3463,Phylloscopus trochiloides,Greenish Warbler,Sagar Adhurya,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/504756,grewar3/XC504756.ogg,23.6514 87.3463 Sagar Adhurya
bcnher,[],"['flight call', 'nocturnal flight call']",50.7542,4.5672,Nycticorax nycticorax,Black-crowned Night-Heron,Frederik Fluyt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,http://xeno-canto.org/669459,bcnher/XC669459.ogg,50.7542 4.5672 Frederik Fluyt
blrwar1,[],[''],63.7818,20.2943,Acrocephalus dumetorum,Blyth's Reed Warbler,Lars Edenius,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/809167,blrwar1/XC809167.ogg,63.7818 20.2943 Lars Edenius
graher1,[],['flight call'],41.5048,0.547,Ardea cinerea,Gray Heron,Sean Ronayne,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/518530,graher1/XC518530.ogg,41.5048 0.547 Sean Ronayne
rorpar,[],['call'],19.1328,72.9152,Psittacula krameri,Rose-ringed Parakeet,Dhruba Saikia,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/584366,rorpar/XC584366.ogg,19.1328 72.9152 Dhruba Saikia
litegr,[],[''],42.4928,-8.8177,Egretta garzetta,Little Egret,Jacobo Ramil MIllarengo,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/717214,litegr/XC717214.ogg,42.4928 -8.8177 Jacobo Ramil MIllarengo
grewar3,[],['song'],54.1863,7.886,Phylloscopus trochiloides,Greenish Warbler,Marc Förschler,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/134126,grewar3/XC134126.ogg,54.1863 7.886 Marc Förschler
bcnher,[],"['life stage uncertain', 'nocturnal flight call', 'sex uncertain']",36.0151,-5.6004,Nycticorax nycticorax,Black-crowned Night-Heron,Birding The Strait,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/542993,bcnher/XC542993.ogg,36.0151 -5.6004 Birding The Strait
greegr,[],"['call', 'flight call']",6.4682,80.8905,Ardea alba,Great Egret,Oscar Campbell,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/453357,greegr/XC453357.ogg,6.4682 80.8905 Oscar Campbell
grtdro1,[],['song'],4.9767,117.7417,Dicrurus paradiseus,Greater Racket-tailed Drongo,David Edwards,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,https://www.xeno-canto.org/86959,grtdro1/XC86959.ogg,4.9767 117.7417 David Edwards
rorpar,[],[''],44.4246,8.8026,Psittacula krameri,Rose-ringed Parakeet,Luca Forneris,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://xeno-canto.org/712827,rorpar/XC712827.ogg,44.4246 8.8026 Luca Forneris
graher1,[],['flight call'],38.156,21.3994,Ardea cinerea,Gray Heron,Joost van Bruggen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/384486,graher1/XC384486.ogg,38.156 21.3994 Joost van Bruggen
whbwat1,[],[''],22.492,114.044,Amaurornis phoenicurus,White-breasted Waterhen,Bo Shunqi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/724411,whbwat1/XC724411.ogg,22.492 114.044 Bo Shunqi
blrwar1,[],[''],59.8253,17.6665,Acrocephalus dumetorum,Blyth's Reed Warbler,Nils-Olof Jerling,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://xeno-canto.org/807160,blrwar1/XC807160.ogg,59.8253 17.6665 Nils-Olof Jerling
litegr,[],"['call', 'juvenile']",-0.344,36.08,Egretta garzetta,Little Egret,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/407045,litegr/XC407045.ogg,-0.344 36.08 Rory Nefdt
litegr,[],['call'],30.2837,31.3564,Egretta garzetta,Little Egret,Tero Linjama,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/341755,litegr/XC341755.ogg,30.2837 31.3564 Tero Linjama
litegr,[],['call'],50.465,3.6825,Egretta garzetta,Little Egret,Alain Malengreau,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/605412,litegr/XC605412.ogg,50.465 3.6825 Alain Malengreau
greegr,[],['call'],35.6576,136.0883,Ardea alba,Great Egret,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/340208,greegr/XC340208.ogg,35.6576 136.0883 Anon Torimi
rorpar,[],['flight call'],51.7332,-0.2692,Psittacula krameri,Rose-ringed Parakeet,Calum Mckellar,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/602170,rorpar/XC602170.ogg,51.7332 -0.2692 Calum Mckellar
blrwar1,[],['song'],53.1791,4.8634,Acrocephalus dumetorum,Blyth's Reed Warbler,Ruud van Beusekom,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/320971,blrwar1/XC320971.ogg,53.1791 4.8634 Ruud van Beusekom
eurcoo,[],['call'],48.573,4.7097,Fulica atra,Eurasian Coot,Guillaume Bigayon,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/555720,eurcoo/XC555720.ogg,48.573 4.7097 Guillaume Bigayon
bcnher,[],[''],31.3348,121.4956,Nycticorax nycticorax,Black-crowned Night-Heron,Tiantian Zhao 赵天天,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/725849,bcnher/XC725849.ogg,31.3348 121.4956 Tiantian Zhao 赵天天
rewbul,[],[''],22.6479,120.2539,Pycnonotus jocosus,Red-whiskered Bulbul,Chi-Hsuan Shao,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/815425,rewbul/XC815425.ogg,22.6479 120.2539 Chi-Hsuan Shao
gyhcaf1,[],"['call', 'song']",-1.7342,101.2512,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/241648,gyhcaf1/XC241648.ogg,-1.7342 101.2512 Mike Nelson
bcnher,[],['flight call'],50.1191,18.9721,Nycticorax nycticorax,Black-crowned Night-Heron,Ireneusz Oleksik,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/475211,bcnher/XC475211.ogg,50.1191 18.9721 Ireneusz Oleksik
bcnher,[],['nocturnal flight call'],36.0288,-5.5737,Nycticorax nycticorax,Black-crowned Night-Heron,Yeray Seminario,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/540712,bcnher/XC540712.ogg,36.0288 -5.5737 Yeray Seminario
blrwar1,[],"['male', 'song']",52.9807,23.1458,Acrocephalus dumetorum,Blyth's Reed Warbler,Grzegorz,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/248144,blrwar1/XC248144.ogg,52.9807 23.1458 Grzegorz
blrwar1,[],"['male', 'song']",53.0778,23.3669,Acrocephalus dumetorum,Blyth's Reed Warbler,Tomek Tumiel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/248908,blrwar1/XC248908.ogg,53.0778 23.3669 Tomek Tumiel
gyhcaf1,[],[''],15.9944,105.61,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/699940,gyhcaf1/XC699940.ogg,15.9944 105.61 Bram Piot
greegr,[],['flight call'],-16.7546,-56.8813,Ardea alba,Great Egret,Dante Buzzetti,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/654338,greegr/XC654338.ogg,-16.7546 -56.8813 Dante Buzzetti
greegr,[],['call'],49.4514,0.3093,Ardea alba,Great Egret,Olivier SWIFT,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/497808,greegr/XC497808.ogg,49.4514 0.3093 Olivier SWIFT
grtdro1,[],"['alarm call', 'declare territory']",13.8549,100.4735,Dicrurus paradiseus,Greater Racket-tailed Drongo,Werzik,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/401576,grtdro1/XC401576.ogg,13.8549 100.4735 Werzik
eurcoo,[],[''],51.7616,-1.4528,Fulica atra,Eurasian Coot,Michał Jezierski,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://xeno-canto.org/761056,eurcoo/XC761056.ogg,51.7616 -1.4528 Michał Jezierski
blrwar1,[],"['male', 'song']",41.3962,68.9969,Acrocephalus dumetorum,Blyth's Reed Warbler,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/183813,blrwar1/XC183813.ogg,41.3962 68.9969 Albert Lastukhin
bcnher,[],['nocturnal flight call'],46.5339,0.2707,Nycticorax nycticorax,Black-crowned Night-Heron,Benoît Van Hecke,Creative Commons Attribution-ShareAlike 4.0,4.0,https://www.xeno-canto.org/550582,bcnher/XC550582.ogg,46.5339 0.2707 Benoît Van Hecke
blrwar1,[],"['male', 'song']",60.3271,17.507,Acrocephalus dumetorum,Blyth's Reed Warbler,Kalle Brinell,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/656266,blrwar1/XC656266.ogg,60.3271 17.507 Kalle Brinell
graher1,[],"['adult', 'begging call', 'call', 'female', 'hatchling or nestling', 'male']",52.345,9.1696,Ardea cinerea,Gray Heron,Markus Jacobs,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/645177,graher1/XC645177.ogg,52.345 9.1696 Markus Jacobs
bcnher,['categr'],['call'],37.2363,-6.0611,Nycticorax nycticorax,Black-crowned Night-Heron,Carlos W.,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/304259,bcnher/XC304259.ogg,37.2363 -6.0611 Carlos W.
blrwar1,[],"['male', 'song']",56.1142,47.5447,Acrocephalus dumetorum,Blyth's Reed Warbler,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/134718,blrwar1/XC134718.ogg,56.1142 47.5447 Albert Lastukhin
blrwar1,[],"['mimicry/imitation', 'song']",60.4356,15.5692,Acrocephalus dumetorum,Blyth's Reed Warbler,Mikael Litsgård,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/568493,blrwar1/XC568493.ogg,60.4356 15.5692 Mikael Litsgård
grewar3,[],['call'],60.0732,59.6438,Phylloscopus trochiloides,Greenish Warbler,Lars Edenius,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/603640,grewar3/XC603640.ogg,60.0732 59.6438 Lars Edenius
bcnher,[],"['flight call', 'nocturnal flight call']",45.9286,-0.9757,Nycticorax nycticorax,Black-crowned Night-Heron,Louis Sallé,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/467243,bcnher/XC467243.ogg,45.9286 -0.9757 Louis Sallé
litegr,[],['nocturnal flight call'],42.009,2.0278,Egretta garzetta,Little Egret,Albert Subirà,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/643851,litegr/XC643851.ogg,42.009 2.0278 Albert Subirà
grewar3,[],['call'],10.0618,77.0737,Phylloscopus trochiloides,Greenish Warbler,Sathyan Meppayur,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/537475,grewar3/XC537475.ogg,10.0618 77.0737 Sathyan Meppayur
blrwar1,[],[''],46.8815,6.2691,Acrocephalus dumetorum,Blyth's Reed Warbler,Georges Bedrines,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/842252,blrwar1/XC842252.ogg,46.8815 6.2691 Georges Bedrines
eurcoo,[],"['adult', 'nocturnal flight call', 'sex uncertain']",52.0165,-8.5699,Fulica atra,Eurasian Coot,Michael John O Mahony,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/648129,eurcoo/XC648129.ogg,52.0165 -8.5699 Michael John O Mahony
grewar3,[],"['male', 'song']",52.4795,16.8816,Phylloscopus trochiloides,Greenish Warbler,Samuel Odrzykoski,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/375013,grewar3/XC375013.ogg,52.4795 16.8816 Samuel Odrzykoski
gyhcaf1,[],['song'],20.0745,99.0979,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Jelle Scharringa,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/630378,gyhcaf1/XC630378.ogg,20.0745 99.0979 Jelle Scharringa
rewbul,[],[''],24.454,118.0923,Pycnonotus jocosus,Red-whiskered Bulbul,Tiantian Zhao 赵天天,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/803072,rewbul/XC803072.ogg,24.454 118.0923 Tiantian Zhao 赵天天
grewar3,[],['song'],56.1377,47.353,Phylloscopus trochiloides,Greenish Warbler,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/490628,grewar3/XC490628.ogg,56.1377 47.353 Albert Lastukhin
bcnher,[],[''],50.6041,5.6641,Nycticorax nycticorax,Black-crowned Night-Heron,Chèvremont Fabian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/749301,bcnher/XC749301.ogg,50.6041 5.6641 Chèvremont Fabian
greegr,[],['Alarm call'],,,Ardea alba,Great Egret,Bernabe Lopez-Lanus,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,https://www.xeno-canto.org/57590,greegr/XC57590.ogg,nan nan Bernabe Lopez-Lanus
grtdro1,[],"['life stage uncertain', 'sex uncertain', 'song']",5.5195,118.2973,Dicrurus paradiseus,Greater Racket-tailed Drongo,Larry Joseph,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/621177,grtdro1/XC621177.ogg,5.5195 118.2973 Larry Joseph
greegr,[],['call'],-22.4508,-42.7735,Ardea alba,Great Egret,Jerome Fischer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/287953,greegr/XC287953.ogg,-22.4508 -42.7735 Jerome Fischer
gyhcaf1,[],"['adult', 'sex uncertain', 'song']",32.071,118.5644,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,ely what,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/653835,gyhcaf1/XC653835.ogg,32.071 118.5644 ely what
eurcoo,[],['nocturnal flight call'],42.009,2.0278,Fulica atra,Eurasian Coot,Albert Subirà,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/626041,eurcoo/XC626041.ogg,42.009 2.0278 Albert Subirà
grewar3,[],['call'],15.4346,74.0985,Phylloscopus trochiloides,Greenish Warbler,Andrew Mascarenhas,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/507436,grewar3/XC507436.ogg,15.4346 74.0985 Andrew Mascarenhas
rorpar,[],['call'],11.3511,75.7364,Psittacula krameri,Rose-ringed Parakeet,Sathyan Meppayur,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/683049,rorpar/XC683049.ogg,11.3511 75.7364 Sathyan Meppayur
litegr,[],[''],43.3426,4.8627,Egretta garzetta,Little Egret,Stanislas Wroza,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/718567,litegr/XC718567.ogg,43.3426 4.8627 Stanislas Wroza
blrwar1,[],['song'],53.0538,17.1403,Acrocephalus dumetorum,Blyth's Reed Warbler,Paweł Szymański,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/252742,blrwar1/XC252742.ogg,53.0538 17.1403 Paweł Szymański
grtdro1,[],['call'],1.3131,103.8137,Dicrurus paradiseus,Greater Racket-tailed Drongo,marcel finlay,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/352069,grtdro1/XC352069.ogg,1.3131 103.8137 marcel finlay
graher1,[],[''],43.5801,-0.2983,Ardea cinerea,Gray Heron,Bernard BOUSQUET,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,https://xeno-canto.org/786450,graher1/XC786450.ogg,43.5801 -0.2983 Bernard BOUSQUET
bcnher,[],['flight call'],51.94,5.9038,Nycticorax nycticorax,Black-crowned Night-Heron,Joost van Bruggen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/376311,bcnher/XC376311.ogg,51.94 5.9038 Joost van Bruggen
rorpar,[],['call'],21.7177,79.3275,Psittacula krameri,Rose-ringed Parakeet,Rajgopal Patil,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/572399,rorpar/XC572399.ogg,21.7177 79.3275 Rajgopal Patil
blrwar1,[],['song'],55.4059,12.207,Acrocephalus dumetorum,Blyth's Reed Warbler,Uffe Gjøl Sørensen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/478485,blrwar1/XC478485.ogg,55.4059 12.207 Uffe Gjøl Sørensen
bcnher,[],[''],52.2032,-6.4563,Nycticorax nycticorax,Black-crowned Night-Heron,Paul Kelly,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/794441,bcnher/XC794441.ogg,52.2032 -6.4563 Paul Kelly
